                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.4964,                 4.2947,                 1.6889,                0.00434,                0.20315,                0.01587,                0.00662,                 2.6141,                 4.0185,                 1.5558,              2.858e-05,              2.858e-05,              2.858e-05
                      2,                 2.9586,                 5.4793,                 1.9136,                0.00403,                0.17597,                0.01743,                0.00756,                 2.5835,                 4.0203,                 1.5526,             7.0743e-05,             7.0743e-05,             7.0743e-05
                      3,                 2.3733,                  4.174,                 1.6211,                0.00461,                0.18841,                0.04225,                0.02144,                 2.2004,                   3.96,                 1.3921,             0.00011206,             0.00011206,             0.00011206
                      4,                 2.1182,                 3.9569,                 1.4122,                0.00683,                0.27022,                0.07791,                0.03147,                  2.083,                 3.9531,                 1.3994,             0.00015252,             0.00015252,             0.00015252
                      5,                 2.1587,                  3.497,                  1.391,                0.00883,                0.37175,                0.10967,                0.04513,                 2.0024,                 3.8008,                 1.2366,             0.00019214,             0.00019214,             0.00019214
                      6,                 1.9084,                 2.9333,                 1.2121,                0.01005,                0.42878,                0.14623,                0.06904,                 1.8725,                 3.7224,                 1.1886,              0.0002309,              0.0002309,              0.0002309
                      7,                  1.735,                 2.6178,                 1.1102,                0.01156,                 0.4661,                 0.1788,                0.08062,                 1.8395,                 3.5705,                 1.1638,             0.00026882,             0.00026882,             0.00026882
                      8,                 1.8284,                 2.4049,                 1.1929,                0.01169,                 0.4661,                0.20611,                 0.0987,                 1.8631,                 3.4517,                 1.1472,             0.00030589,             0.00030589,             0.00030589
                      9,                  1.629,                 2.1349,                 1.1459,                0.01261,                0.48102,                0.25141,                0.11314,                 1.7957,                 3.3255,                 1.1061,             0.00034211,             0.00034211,             0.00034211
                     10,                 1.6115,                 2.0358,                    1.1,                0.01328,                 0.5016,                0.27228,                0.12984,                 1.7131,                 3.2841,                  1.085,             0.00037749,             0.00037749,             0.00037749
                     11,                  1.615,                 2.2606,                 1.1105,                0.01408,                0.51901,                 0.3547,                0.19811,                 1.6444,                  3.205,                  1.053,             0.00041201,             0.00041201,             0.00041201
                     12,                 1.5271,                 2.4048,                 1.1008,                0.01411,                0.53135,                0.36779,                0.20321,                 1.7373,                 3.2106,                 1.0781,             0.00044568,             0.00044568,             0.00044568
                     13,                 2.3069,                 4.1582,                  1.617,                0.87061,                0.19196,                0.33706,                 0.1827,                 1.8953,                 3.1103,                 1.1248,             0.00047851,             0.00047851,             0.00047851
                     14,                 1.6691,                 1.6302,                 1.1271,                0.51496,                 0.3666,                0.38571,                0.21503,                 1.8085,                 3.0983,                 1.0945,             0.00051049,             0.00051049,             0.00051049
                     15,                 1.5431,                 2.1143,                 1.0723,                0.67919,                0.34812,                0.51976,                0.25959,                 1.8041,                 3.1351,                 1.1178,             0.00054161,             0.00054161,             0.00054161
                     16,                 1.4373,                 1.8723,                  1.057,                0.70382,                0.22118,                0.52133,                0.27545,                 1.7156,                 3.0601,                 1.0899,             0.00057189,             0.00057189,             0.00057189
                     17,                 1.6238,                 1.5461,                 1.0947,                0.95688,                0.09447,                0.55662,                0.30185,                 1.6755,                 2.9042,                 1.0653,             0.00060132,             0.00060132,             0.00060132
                     18,                 1.4272,                 1.5343,                 1.0352,                0.95448,                0.13404,                0.57011,                0.31891,                 1.7422,                 2.8036,                 1.0698,              0.0006299,              0.0006299,              0.0006299
                     19,                 1.4755,                 1.4822,                 1.0606,                0.93509,                0.14432,                0.60297,                0.34057,                 1.8232,                 2.7361,                 1.1302,             0.00065764,             0.00065764,             0.00065764
                     20,                 1.7483,                 1.4883,                 1.1033,                0.92438,                0.17376,                 0.6365,                0.37947,                 1.7318,                 2.6742,                 1.1169,             0.00068452,             0.00068452,             0.00068452
                     21,                 1.6489,                 1.5528,                 1.0883,                0.93678,                0.27167,                 0.6615,                 0.4157,                 1.5364,                 2.6158,                 1.0516,             0.00071056,             0.00071056,             0.00071056
                     22,                 1.2852,                 1.5355,                0.98437,                 0.8622,                  0.413,                0.67803,                 0.4252,                 1.5231,                 2.4175,                 1.0235,             0.00073574,             0.00073574,             0.00073574
                     23,                 1.6201,                 1.9208,                 1.1294,                0.80213,                 0.5213,                0.71133,                0.43248,                 1.5575,                 2.3038,                 1.0306,             0.00076008,             0.00076008,             0.00076008
                     24,                  1.327,                 1.2125,                0.97927,                0.82253,                0.53724,                0.74664,                0.46346,                 1.6012,                 2.2815,                 1.0245,             0.00078357,             0.00078357,             0.00078357
                     25,                 1.3557,                  1.202,                  1.029,                0.84641,                0.55197,                0.76343,                0.49809,                 1.5496,                 2.0964,                0.98425,             0.00080621,             0.00080621,             0.00080621
                     26,                 1.3683,                 1.8741,                 1.0285,                0.82265,                0.53492,                0.76628,                0.47323,                 1.7077,                  2.262,                 1.0303,               0.000828,               0.000828,               0.000828
                     27,                 1.3211,                 1.2497,                0.99197,                0.81236,                0.50217,                0.74525,                0.42515,                 1.8279,                 2.3407,                 1.0803,             0.00084894,             0.00084894,             0.00084894
                     28,                 1.3224,                  1.382,                  1.018,                0.79233,                 0.4642,                0.72722,                0.41121,                 1.7286,                 2.2897,                 1.0582,             0.00086903,             0.00086903,             0.00086903
                     29,                 1.2285,                 1.1954,                0.99109,                0.79233,                 0.4642,                0.72722,                0.41121,                 1.7286,                 2.2897,                 1.0582,             0.00088828,             0.00088828,             0.00088828
                     30,                  1.329,                  1.272,                 1.0086,                0.80806,                0.52844,                0.75499,                0.45645,                 1.5074,                  1.977,                 1.0171,             0.00090667,             0.00090667,             0.00090667
                     31,                 1.4131,                 1.3806,                 1.1079,                  0.825,                0.63833,                0.80234,                 0.5176,                 1.4188,                 1.8555,                0.98035,             0.00092422,             0.00092422,             0.00092422
                     32,                 1.2577,                 1.0597,                0.96272,                 0.8626,                0.65177,                0.84273,                0.54437,                  1.449,                  1.897,                0.97855,             0.00094092,             0.00094092,             0.00094092
                     33,                 1.2448,                 1.0712,                0.96785,                 0.8626,                0.65177,                0.84273,                0.54437,                  1.449,                  1.897,                0.97855,             0.00095677,             0.00095677,             0.00095677
                     34,                 1.3154,                 1.1526,                0.98295,                0.87193,                0.65972,                0.83275,                 0.5104,                 1.6404,                 2.0301,                 1.0188,             0.00096215,             0.00096215,             0.00096215
                     35,                 1.3129,                 1.1015,                0.99379,                0.87878,                0.70785,                0.83138,                0.50742,                  1.612,                 1.9925,                 1.0219,               0.000948,               0.000948,               0.000948
                     36,                 1.2356,                 1.2616,                 1.0263,                 0.8757,                0.70617,                0.82344,                0.49987,                 1.6242,                 1.9217,                 1.0429,             0.00093385,             0.00093385,             0.00093385
                     37,                 1.3478,                 1.2318,                 1.0594,                 0.8757,                0.70617,                0.82344,                0.49987,                 1.6242,                 1.9217,                 1.0429,              0.0009197,              0.0009197,              0.0009197
                     38,                 1.2069,                  1.059,                0.95891,                0.87209,                0.63102,                0.82776,                0.53514,                 1.5269,                 1.7919,                 1.0145,             0.00090556,             0.00090556,             0.00090556
