                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.3489,                 6.1193,                 4.2869,                      0,                      0,                      0,                      0,                 6.2525,                 4.9138,                 4.1602,              2.858e-05,              2.858e-05,              2.858e-05
                      2,                 4.1114,                 6.7533,                 3.0033,                      0,                      0,                      0,                      0,                 6.2525,                  4.911,                  4.162,             7.0743e-05,             7.0743e-05,             7.0743e-05
                      3,                 5.8803,                 5.7349,                 4.2949,                      0,                      0,                      0,                      0,                 6.2525,                 4.9113,                 4.1626,             0.00011206,             0.00011206,             0.00011206
                      4,                  6.109,                 6.0193,                 4.2345,                      0,                      0,                      0,                      0,                 6.2524,                 4.9147,                 4.1637,             0.00015252,             0.00015252,             0.00015252
                      5,                 5.7135,                 5.2277,                 4.2872,                      0,                      0,                      0,                      0,                 6.2533,                 4.9169,                 4.1655,             0.00019214,             0.00019214,             0.00019214
                      6,                 5.3746,                  5.333,                 4.2654,                      0,                      0,                      0,                      0,                 6.2533,                 4.9254,                 4.1669,              0.0002309,              0.0002309,              0.0002309
                      7,                 5.4936,                 5.6028,                 4.1869,                      0,                      0,                      0,                      0,                 6.2577,                 4.9345,                 4.1692,             0.00026882,             0.00026882,             0.00026882
                      8,                 5.3118,                 4.9927,                 4.2282,                      0,                      0,                      0,                      0,                 6.2578,                 4.9369,                 4.1714,             0.00030589,             0.00030589,             0.00030589
                      9,                 5.6811,                  4.992,                 4.1402,                      0,                      0,                      0,                      0,                 6.2581,                 4.9597,                 4.1766,             0.00034211,             0.00034211,             0.00034211
                     10,                  5.165,                 4.8792,                 4.0925,                      0,                      0,                      0,                      0,                 6.2607,                 4.9682,                 4.1796,             0.00037749,             0.00037749,             0.00037749
                     11,                 5.1195,                 4.7033,                 4.0573,                      0,                      0,                      0,                      0,                 6.2644,                 4.9817,                 4.1878,             0.00041201,             0.00041201,             0.00041201
                     12,                 4.3069,                 5.0841,                 4.1983,                      0,                      0,                      0,                      0,                 6.2661,                 4.9982,                 4.1933,             0.00044568,             0.00044568,             0.00044568
                     13,                 4.1013,                 6.3665,                 3.4706,                      0,                      0,                      0,                      0,                  6.273,                 5.0295,                 4.2062,             0.00047851,             0.00047851,             0.00047851
                     14,                 4.6559,                 4.4012,                 3.8465,                      0,                      0,                      0,                      0,                 6.2775,                 5.0595,                 4.2156,             0.00051049,             0.00051049,             0.00051049
                     15,                 4.8049,                 6.1314,                 3.8269,                      0,                      0,                      0,                      0,                 6.2882,                 5.1128,                 4.2388,             0.00054161,             0.00054161,             0.00054161
                     16,                  3.971,                 4.2534,                 3.8651,                      0,                      0,                      0,                      0,                 6.2864,                 5.1405,                  4.246,             0.00057189,             0.00057189,             0.00057189
                     17,                 4.4169,                 4.1761,                 3.6464,                      0,                      0,                      0,                      0,                 6.1189,                 5.0826,                 4.1668,             0.00060132,             0.00060132,             0.00060132
                     18,                 4.0473,                 3.9647,                 3.5701,                      0,                      0,                      0,                      0,                 6.0653,                 5.0619,                  4.144,              0.0006299,              0.0006299,              0.0006299
                     19,                 3.9376,                 3.7833,                   3.52,                      0,                      0,                      0,                      0,                 6.1022,                 5.0655,                 4.1646,             0.00065764,             0.00065764,             0.00065764
                     20,                 3.8515,                  3.498,                 3.3268,                      0,                      0,                      0,                      0,                 6.2157,                 4.9415,                 4.2221,             0.00068452,             0.00068452,             0.00068452
                     21,                 4.0658,                 3.7727,                 3.2958,                      0,                      0,                      0,                      0,                 5.8825,                 4.8175,                 4.0649,             0.00071056,             0.00071056,             0.00071056
                     22,                 3.3644,                 3.3727,                 3.3696,                      0,                      0,                      0,                      0,                 5.6949,                 4.8925,                 3.9758,             0.00073574,             0.00073574,             0.00073574
                     23,                 3.9635,                  4.547,                 3.1838,                      0,                      0,                      0,                      0,                 5.7644,                 4.9069,                 4.0084,             0.00076008,             0.00076008,             0.00076008
                     24,                 3.3867,                 3.4834,                 3.0626,                      0,                      0,                      0,                      0,                  5.652,                 4.8556,                 3.9588,             0.00078357,             0.00078357,             0.00078357
                     25,                 3.3341,                 3.1838,                 2.8689,                      0,                      0,                      0,                      0,                 5.2602,                 4.6929,                 3.7661,             0.00080621,             0.00080621,             0.00080621
                     26,                 3.5047,                 4.1232,                  3.173,                      0,                      0,                      0,                      0,                 5.2797,                 4.6864,                 3.7729,               0.000828,               0.000828,               0.000828
                     27,                 3.1599,                 3.3106,                 2.7005,                      0,                      0,                      0,                      0,                 5.7835,                 4.8761,                 4.0096,             0.00084894,             0.00084894,             0.00084894
                     28,                 3.3035,                 3.2427,                 2.7477,                      0,                      0,                      0,                      0,                 6.0522,                 4.9803,                 4.1304,             0.00086903,             0.00086903,             0.00086903
                     29,                 3.1825,                 2.9859,                 2.7697,                      0,                      0,                      0,                      0,                 6.0522,                 4.9803,                 4.1304,             0.00088828,             0.00088828,             0.00088828
                     30,                 2.9722,                  2.971,                 2.6315,                      0,                      0,                      0,                      0,                    5.4,                 4.7013,                 3.8274,             0.00090667,             0.00090667,             0.00090667
                     31,                  3.517,                 3.0504,                 2.8116,                      0,                      0,                      0,                      0,                 4.8949,                 4.4882,                 3.5861,             0.00092422,             0.00092422,             0.00092422
                     32,                 3.0824,                 2.8919,                 2.4051,                      0,                      0,                      0,                      0,                 4.7559,                 4.4081,                 3.5084,             0.00094092,             0.00094092,             0.00094092
                     33,                 2.8916,                 2.6671,                 2.3114,                      0,                      0,                      0,                      0,                 4.7559,                 4.4081,                 3.5084,             0.00095677,             0.00095677,             0.00095677
                     34,                 3.1282,                 2.8143,                 2.3397,                      0,                      0,                      0,                      0,                 5.1069,                 4.5505,                 3.6447,             0.00096215,             0.00096215,             0.00096215
                     35,                 3.1533,                 2.8865,                 2.3425,                0.00277,                0.04478,                0.00174,                0.00059,                 5.3916,                 4.5783,                 3.6188,               0.000948,               0.000948,               0.000948
                     36,                 3.0885,                 2.9871,                 2.5821,                0.00288,                0.07711,                0.00316,                0.00109,                 5.2253,                 4.3359,                 3.3992,             0.00093385,             0.00093385,             0.00093385
                     37,                 2.8369,                  2.795,                 2.5559,                0.00288,                0.07711,                0.00316,                0.00109,                 5.2253,                 4.3359,                 3.3992,              0.0009197,              0.0009197,              0.0009197
                     38,                 3.0552,                 2.7041,                 2.4068,                0.34465,                 0.0199,                0.00515,                0.00166,                 4.7538,                 4.0801,                 3.1469,             0.00090556,             0.00090556,             0.00090556
                     39,                 3.2482,                 2.8716,                 2.2944,                0.69009,                0.01244,                0.01126,                0.00325,                 4.5425,                 4.0158,                  3.043,             0.00089141,             0.00089141,             0.00089141
                     40,                   3.39,                 3.8019,                 2.5415,                0.75188,                0.02985,                0.02812,                 0.0085,                 4.3116,                 3.8346,                 2.9065,             0.00087726,             0.00087726,             0.00087726
                     41,                 2.9274,                 2.5153,                 2.2093,                0.75188,                0.02985,                0.02812,                 0.0085,                 4.3116,                 3.8346,                 2.9065,             0.00086312,             0.00086312,             0.00086312
                     42,                 2.9319,                 2.8319,                 2.4421,                0.74035,                0.04726,                0.03617,                 0.0111,                 4.2132,                 3.5601,                 2.8175,             0.00084897,             0.00084897,             0.00084897
                     43,                 2.7747,                 2.9135,                 2.4515,                0.75906,                0.05473,                0.04329,                0.01291,                 3.7058,                 3.3255,                 2.6225,             0.00083482,             0.00083482,             0.00083482
                     44,                 2.5892,                 2.5238,                 2.0729,                0.75062,                0.06219,                0.05022,                0.01372,                 3.0617,                  3.052,                 2.3854,             0.00082067,             0.00082067,             0.00082067
                     45,                 3.1538,                 2.7957,                 2.3785,                0.75062,                0.06219,                0.05022,                0.01372,                 3.0617,                  3.052,                 2.3854,             0.00080653,             0.00080653,             0.00080653
                     46,                 2.7365,                 2.7203,                  2.274,                0.75025,                0.06219,                0.05301,                0.01624,                 2.8271,                 3.0545,                 2.2269,             0.00079238,             0.00079238,             0.00079238
                     47,                  2.814,                 2.4977,                 2.0712,                0.75285,                0.06593,                0.05825,                0.01922,                 2.9197,                 3.3451,                 2.1605,             0.00077823,             0.00077823,             0.00077823
                     48,                 2.7759,                 2.7467,                 2.3864,                0.73539,                0.08706,                0.06414,                0.02244,                 3.1131,                  3.225,                 2.1804,             0.00076409,             0.00076409,             0.00076409
                     49,                 2.5533,                 2.5793,                  2.351,                0.73539,                0.08706,                0.06414,                0.02244,                 3.1131,                  3.225,                 2.1804,             0.00074994,             0.00074994,             0.00074994
                     50,                 2.6284,                 2.3357,                 2.1578,                0.75399,                0.08706,                0.07761,                 0.0299,                 3.1388,                 3.1038,                 2.1755,             0.00073579,             0.00073579,             0.00073579
                     51,                 2.6799,                 2.5444,                 2.0676,                0.78973,                0.08955,                0.08687,                0.03404,                 3.1311,                 3.0287,                 2.1622,             0.00072164,             0.00072164,             0.00072164
                     52,                 2.9821,                 2.6629,                 2.4125,                0.81903,                0.08458,                 0.0925,                0.03623,                 3.0129,                 2.9363,                 2.1127,              0.0007075,              0.0007075,              0.0007075
                     53,                 2.5054,                 2.4261,                 2.1282,                0.81903,                0.08458,                 0.0925,                0.03623,                 3.0129,                 2.9363,                 2.1127,             0.00069335,             0.00069335,             0.00069335
                     54,                 2.4173,                 2.2707,                 2.0128,                0.80742,                0.09636,                0.09716,                0.03828,                 2.7924,                  2.783,                  2.054,              0.0006792,              0.0006792,              0.0006792
                     55,                  2.375,                  2.333,                   1.93,                0.80061,                0.09526,                0.09859,                0.03897,                 2.7151,                 2.6939,                 2.0297,             0.00066506,             0.00066506,             0.00066506
                     56,                 2.5153,                 2.2595,                 1.9859,                0.48447,                0.17325,                0.11312,                0.04167,                 2.7242,                 2.5695,                 2.0134,             0.00065091,             0.00065091,             0.00065091
                     57,                 2.6328,                 2.5502,                 2.1937,                0.48447,                0.17325,                0.11312,                0.04167,                 2.7242,                 2.5695,                 2.0134,             0.00063676,             0.00063676,             0.00063676
                     58,                 2.9114,                 2.5775,                 1.9631,                 0.5264,                0.17634,                0.13117,                0.05264,                 2.6549,                 2.5001,                 1.9555,             0.00062262,             0.00062262,             0.00062262
