                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                      0,                 132.46,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              9.228e-05,              9.228e-05,              9.228e-05
                      2,                      0,                 117.06,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00019035,             0.00019035,             0.00019035
                      3,                      0,                 110.42,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00028643,             0.00028643,             0.00028643
                      4,                      0,                 103.22,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00038054,             0.00038054,             0.00038054
                      5,                      0,                 97.839,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00047267,             0.00047267,             0.00047267
                      6,                      0,                 94.385,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00056282,             0.00056282,             0.00056282
                      7,                      0,                 90.946,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00065099,             0.00065099,             0.00065099
                      8,                      0,                 87.712,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00071571,             0.00071571,             0.00071571
                      9,                      0,                  84.68,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0007081,              0.0007081,              0.0007081
                     10,                      0,                 81.695,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00070048,             0.00070048,             0.00070048
                     11,                      0,                 78.527,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00069287,             0.00069287,             0.00069287
                     12,                      0,                 75.853,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00068526,             0.00068526,             0.00068526
                     13,                      0,                 73.026,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00067764,             0.00067764,             0.00067764
                     14,                      0,                 70.159,                      0,                      0,                      0,                      0,                      0,                      0,                0.02107,                      0,             0.00067003,             0.00067003,             0.00067003
                     15,                      0,                 67.483,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00066242,             0.00066242,             0.00066242
                     16,                      0,                 64.836,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0006548,              0.0006548,              0.0006548
                     17,                      0,                 62.233,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00064719,             0.00064719,             0.00064719
